book	status2	status	PARAGON	tok_length		ParagonURI	local_path
1111Majlisi.BiharAnwar	pri	pri	z	11912693		z	../data/1111Majlisi/1111Majlisi.BiharAnwar/1111Majlisi.BiharAnwar.Shia001432-ara1
0571IbnCasakir.TarikhDimashq	pri	pri	z	8153084		z	../data/0571IbnCasakir/0571IbnCasakir.TarikhDimashq/0571IbnCasakir.TarikhDimashq.JK000916-ara1.mARkdown
1354RashidRida.Manar	pri	pri	z	6513230		z	../data/1354RashidRida/1354RashidRida.Manar/1354RashidRida.Manar.Shamela0006947-ara1
0911Suyuti.JamicKabir	pri	pri	z	6263066		z	../data/0911Suyuti/0911Suyuti.JamicKabir/0911Suyuti.JamicKabir.Sham19Y0127677-ara1
1450JamicaIslamiyya.MajallaJIMN	pri	pri	z	5221427		z	../data/1450JamicaIslamiyya/1450JamicaIslamiyya.MajallaJIMN/1450JamicaIslamiyya.MajallaJIMN.Shamela0004473-ara1
1266MuhammadHasanNajafiJawahiri.JawahirKalam	pri	pri	z	4969459		z	../data/1266MuhammadHasanNajafiJawahiri/1266MuhammadHasanNajafiJawahiri.JawahirKalam/1266MuhammadHasanNajafiJawahiri.JawahirKalam.Shia000317Vols-ara1
0855BadrDinCayni.CumdatQari	pri	pri	z	4647728		z	../data/0855BadrDinCayni/0855BadrDinCayni.CumdatQari/0855BadrDinCayni.CumdatQari.Shamela0005756-ara1.completed
1371MuhsinAminCamili.AcyanShica	pri	pri	z	4621939		z	../data/1371MuhsinAminCamili/1371MuhsinAminCamili.AcyanShica/1371MuhsinAminCamili.AcyanShica.Shia003636Vols-ara1.inProgress
1205MurtadaZabidi.TajCarus	pri	pri	language: dictionaries	4357074	1	0000Paragon.LughaMacajim	../data/1205MurtadaZabidi/1205MurtadaZabidi.TajCarus/1205MurtadaZabidi.TajCarus.Shia003965Vols-ara1
1019NurAllahTustari.IhqaqHaqq	pri	pri	z	4173994		z	../data/1019NurAllahTustari/1019NurAllahTustari.IhqaqHaqq/1019NurAllahTustari.IhqaqHaqq.Rafed0002654Vols-ara1
0804IbnMulaqqin.Tawdih	pri	pri	z	4006476		z	../data/0804IbnMulaqqin/0804IbnMulaqqin.Tawdih/0804IbnMulaqqin.Tawdih.Sham19Y0013252-ara1
1411SayyidMarcashi.SharhIhqaq	pri	pri	z	3994825		z	../data/1411SayyidMarcashi/1411SayyidMarcashi.SharhIhqaq/1411SayyidMarcashi.SharhIhqaq.Shia004092Vols-ara1
1186YusufBahraniMuhaqqiq.HadaiqNadira	pri	pri	z	3597459		z	../data/1186YusufBahraniMuhaqqiq/1186YusufBahraniMuhaqqiq.HadaiqNadira/1186YusufBahraniMuhaqqiq.HadaiqNadira.Shia000234Vols-ara1
1270ShihabDinAlusi.RuhMacani	pri	pri	z	3578658		z	../data/1270ShihabDinAlusi/1270ShihabDinAlusi.RuhMacani/1270ShihabDinAlusi.RuhMacani.Shia002702Vols-ara1.inProgress
0852IbnHajarCasqalani.FathBari	pri	pri	z	3532666		z	../data/0852IbnHajarCasqalani/0852IbnHajarCasqalani.FathBari/0852IbnHajarCasqalani.FathBari.Shamela0001673-ara1
0923AhmadQastallani.IrshadSari	pri	pri	z	3401717		z	../data/0923AhmadQastallani/0923AhmadQastallani.IrshadSari/0923AhmadQastallani.IrshadSari.Shamela0021715-ara1.mARkdown
1104IbnHasanHurrCamili.WasailShica	pri	pri	z	3396204		z	../data/1104IbnHasanHurrCamili/1104IbnHasanHurrCamili.WasailShica/1104IbnHasanHurrCamili.WasailShica.Shia001187Vols-ara1
1302IbnSalimMajlisi.LawamicDurar	pri	pri	z	3339872		z	../data/1302IbnSalimMajlisi/1302IbnSalimMajlisi.LawamicDurar/1302IbnSalimMajlisi.LawamicDurar.Sham19Y0149697-ara1
0748Dhahabi.TarikhIslam	pri	pri	history: obituary chronicle	3305488	1	0000Paragon.TarikhWafayat	../data/0748Dhahabi/0748Dhahabi.TarikhIslam/0748Dhahabi.TarikhIslam.Shamela0035100-ara1.mARkdown
1205MurtadaZabidi.IthafSada	pri	pri	z	3040884		z	../data/1205MurtadaZabidi/1205MurtadaZabidi.IthafSada/1205MurtadaZabidi.IthafSada.ShamAY0035035-ara1
0711IbnManzurIfriqi.LisanCarab	pri	pri	language: dictionaries	3009676	1	0000Paragon.LughaMacajim	../data/0711IbnManzurIfriqi/0711IbnManzurIfriqi.LisanCarab/0711IbnManzurIfriqi.LisanCarab.Shamela0001687-ara1.mARkdown
0606FakhrDinRazi.MafatihGhayb	pri	pri	caqaid: kalam	2972551	1	ashcari	../data/0606FakhrDinRazi/0606FakhrDinRazi.MafatihGhayb/0606FakhrDinRazi.MafatihGhayb.ShamAY0031578-ara1
0728IbnTaymiyya.MajmucFatawa	pri	pri	z	2951973		0000Paragon.FiqhFatawaHanbaliyya	../data/0728IbnTaymiyya/0728IbnTaymiyya.MajmucFatawa/0728IbnTaymiyya.MajmucFatawa.JK000381-ara1
1393MuhammadTahirIbnCashurTunisi.TahrirWaTanwir	pri	pri	z	2944533		z	../data/1393MuhammadTahirIbnCashurTunisi/1393MuhammadTahirIbnCashurTunisi.TahrirWaTanwir/1393MuhammadTahirIbnCashurTunisi.TahrirWaTanwir.Rafed0002905Vols-ara1
0310Tabari.JamicBayan	pri	pri	z	2910592		z	../data/0310Tabari/0310Tabari.JamicBayan/0310Tabari.JamicBayan.Shamela0007798-ara1.inProgress
0800IbnCadilHanbali.LubabFiCulumKitab	pri	pri	z	2900262		z	../data/0800IbnCadilHanbali/0800IbnCadilHanbali.LubabFiCulumKitab/0800IbnCadilHanbali.LubabFiCulumKitab.JK009266-ara1
1418MuhammadMutawalliShacrawi.Khawatir	pri	pri	z	2875160		z	../data/1418MuhammadMutawalliShacrawi/1418MuhammadMutawalliShacrawi.Khawatir/1418MuhammadMutawalliShacrawi.Khawatir.Tafsir07076-ara1
0654SibtIbnJawzi.MiratZaman	pri	pri	history: obituary chronicle	2816333	1	0000Paragon.TarikhWafayat	../data/0654SibtIbnJawzi/0654SibtIbnJawzi.MiratZaman/0654SibtIbnJawzi.MiratZaman.Sham19Y0023644-ara1
0676Nawawi.Majmuc	pri	pri	z	2807252		z	../data/0676Nawawi/0676Nawawi.Majmuc/0676Nawawi.Majmuc.Shia000841Vols-ara1
0450AbuHasanMawardi.HawiKabir	pri	pri	z	2795709		z	../data/0450AbuHasanMawardi/0450AbuHasanMawardi.HawiKabir/0450AbuHasanMawardi.HawiKabir.ShamAY0034249-ara1
0749IbnFadlAllahCumari.MasalikAbsar	pri	pri	z	2763065		z	../data/0749IbnFadlAllahCumari/0749IbnFadlAllahCumari.MasalikAbsar/0749IbnFadlAllahCumari.MasalikAbsar.Kraken210630005153-ara1
1389AghaBuzurgTihrani.DharicaIlaTasanifShica	pri	pri	z	2708298		z	../data/1389AghaBuzurgTihrani/1389AghaBuzurgTihrani.DharicaIlaTasanifShica/1389AghaBuzurgTihrani.DharicaIlaTasanifShica.Shia003366Vols-ara1.completed
0468IbnAhmadWahidiNaysaburi.TafsirBasit	pri	pri	z	2703477		z	../data/0468IbnAhmadWahidiNaysaburi/0468IbnAhmadWahidiNaysaburi.TafsirBasit/0468IbnAhmadWahidiNaysaburi.TafsirBasit.Sham19Y0013231-ara1
0742Mizzi.TahdhibKamal	pri	pri	z	2575124		z	../data/0742Mizzi/0742Mizzi.TahdhibKamal/0742Mizzi.TahdhibKamal.Shamela0003722-ara1.mARkdown
0502CabdWahidRuyani.BahrMadhhab	pri	pri	z	2568968		z	../data/0502CabdWahidRuyani/0502CabdWahidRuyani.BahrMadhhab/0502CabdWahidRuyani.BahrMadhhab.Sham19Y0016934-ara1
0623AbuQasimRafici.SharhKabir	pri	pri	z	2560004		z	../data/0623AbuQasimRafici/0623AbuQasimRafici.SharhKabir/0623AbuQasimRafici.SharhKabir.Sham19Y0013577-ara1
0458Bayhaqi.SunanKubra	pri	pri	z	2559905		z	../data/0458Bayhaqi/0458Bayhaqi.SunanKubra/0458Bayhaqi.SunanKubra.Sham19Y0148486-ara1
1450MawqicIslam.Fatawa	pri	pri	z	2544963		z	../data/1450MawqicIslam/1450MawqicIslam.Fatawa/1450MawqicIslam.Fatawa.Shamela0000894-ara1
1252IbnCabidinDimashqi.RaddMuhtar	pri	pri	z	2531646		z	../data/1252IbnCabidinDimashqi/1252IbnCabidinDimashqi.RaddMuhtar/1252IbnCabidinDimashqi.RaddMuhtar.JK000170-ara1
0483IbnAhmadSarakhsi.Mabsut	pri	pri	z	2490024		z	../data/0483IbnAhmadSarakhsi/0483IbnAhmadSarakhsi.Mabsut/0483IbnAhmadSarakhsi.Mabsut.ShamAY0034206-ara1
1332QutbAtfayyish.SharhNilWaShifaCalil	pri	pri	z	2437968		z	../data/1332QutbAtfayyish/1332QutbAtfayyish.SharhNilWaShifaCalil/1332QutbAtfayyish.SharhNilWaShifaCalil.ShamIbadiyya0000109-ara1
1118CabdHamidShirwani.HashiyaCalaTuhfatMuhtaj	pri	pri	z	2430445		z	../data/1118CabdHamidShirwani/1118CabdHamidShirwani.HashiyaCalaTuhfatMuhtaj/1118CabdHamidShirwani.HashiyaCalaTuhfatMuhtaj.Shamela0009059BK2-ara1
1127IsmacilHaqqiBurusawi.RuhBayan	pri	pri	z	2429568		z	../data/1127IsmacilHaqqiBurusawi/1127IsmacilHaqqiBurusawi.RuhBayan/1127IsmacilHaqqiBurusawi.RuhBayan.ShamAY0034059-ara1
1118CabdHamidShirwani.Hawashi	pri	pri	z	2429173		z	../data/1118CabdHamidShirwani/1118CabdHamidShirwani.Hawashi/1118CabdHamidShirwani.Hawashi.JK000196-ara1
1450DarIftaMisriyya.JamicAhadith	pri	pri	z	2417091		z	../data/1450DarIftaMisriyya/1450DarIftaMisriyya.JamicAhadith/1450DarIftaMisriyya.JamicAhadith.Shamela0001438-ara1.completed
0844IbnHusaynIbnRaslanRamli.SharhSunanAbiDawud	pri	pri	z	2401898		z	../data/0844IbnHusaynIbnRaslanRamli/0844IbnHusaynIbnRaslanRamli.SharhSunanAbiDawud/0844IbnHusaynIbnRaslanRamli.SharhSunanAbiDawud.Sham19Y0131521-ara1
1014MullaCaliQari.MirqatMafatih	pri	pri	z	2397872		z	../data/1014MullaCaliQari/1014MullaCaliQari.MirqatMafatih/1014MullaCaliQari.MirqatMafatih.Shamela0008176-ara1
0711IbnManzurIfriqi.MukhtasarTarikhDimashq	pri	pri	z	2397154		z	../data/0711IbnManzurIfriqi/0711IbnManzurIfriqi.MukhtasarTarikhDimashq/0711IbnManzurIfriqi.MukhtasarTarikhDimashq.Shamela0003118-ara1.mARkdown
1402SayyidTabatabai.TafsirMizan	pri	pri	z	2365871		z	../data/1402SayyidTabatabai/1402SayyidTabatabai.TafsirMizan/1402SayyidTabatabai.TafsirMizan.Shia002406Vols-ara1
0478ImamHaramaynJuwayni.NihayatMatlab	pri	pri	z	2334430		z	../data/0478ImamHaramaynJuwayni/0478ImamHaramaynJuwayni.NihayatMatlab/0478ImamHaramaynJuwayni.NihayatMatlab.Shamela0009851-ara1
0733Nuwayri.NihayatArab	pri	pri	literature: anthologies	2334405	1	0000Paragon.Adab	../data/0733Nuwayri/0733Nuwayri.NihayatArab/0733Nuwayri.NihayatArab.Shamela0010283-ara1.mARkdown
